"","question_id","series_date","total_n","Somewhat.Approve","Strongly.Approve","Somewhat.Disapprove","Strongly.Disapprove","Don.t.Know...No.Opinion"
"620317","LEG4_John_Moolenaar","2018-03-08T00:00:00.000Z",10,38,0,5,7,50
"620318","LEG4_John_Moolenaar","2018-03-09T00:00:00.000Z",13,22,0,4,5,69
"620319","LEG4_John_Moolenaar","2018-03-10T00:00:00.000Z",9,0,16,26,24,33
"620320","LEG4_John_Moolenaar","2018-03-11T00:00:00.000Z",16,22,0,43,0,35
"620321","LEG4_John_Moolenaar","2018-03-12T00:00:00.000Z",17,19,0,25,30,26
"620322","LEG4_John_Moolenaar","2018-03-13T00:00:00.000Z",12,19,0,18,16,47
"620323","LEG4_John_Moolenaar","2018-03-14T00:00:00.000Z",12,21,0,21,12,46
"620324","LEG4_John_Moolenaar","2018-03-15T00:00:00.000Z",14,19,0,15,24,42
"620325","LEG4_John_Moolenaar","2018-03-16T00:00:00.000Z",12,47,0,19,0,34
"620326","LEG4_John_Moolenaar","2018-03-17T00:00:00.000Z",14,34,0,16,6,44
"620327","LEG4_John_Moolenaar","2018-03-18T00:00:00.000Z",11,31,0,5,15,49
"620328","LEG4_John_Moolenaar","2018-03-19T00:00:00.000Z",5,41,0,12,13,34
"620329","LEG4_John_Moolenaar","2018-03-20T00:00:00.000Z",11,19,18,14,12,38
"620330","LEG4_John_Moolenaar","2018-03-21T00:00:00.000Z",23,23,0,15,22,41
"620331","LEG4_John_Moolenaar","2018-03-22T00:00:00.000Z",16,17,0,40,9,34
"620332","LEG4_John_Moolenaar","2018-03-23T00:00:00.000Z",13,15,0,0,22,63
"620333","LEG4_John_Moolenaar","2018-03-24T00:00:00.000Z",15,20,0,38,9,32
"620334","LEG4_John_Moolenaar","2018-03-25T00:00:00.000Z",6,9,26,0,26,39
"620335","LEG4_John_Moolenaar","2018-03-26T00:00:00.000Z",7,0,0,21,0,79
"620336","LEG4_John_Moolenaar","2018-03-27T00:00:00.000Z",9,0,8,13,52,27
"620337","LEG4_John_Moolenaar","2018-03-28T00:00:00.000Z",11,34,0,18,31,17
"620338","LEG4_John_Moolenaar","2018-03-29T00:00:00.000Z",21,33,4,3,10,49
"620339","LEG4_John_Moolenaar","2018-03-30T00:00:00.000Z",9,23,5,9,5,58
"620340","LEG4_John_Moolenaar","2018-03-31T00:00:00.000Z",12,40,0,4,45,12
"620341","LEG4_John_Moolenaar","2018-04-01T00:00:00.000Z",12,27,0,31,8,34
"620342","LEG4_John_Moolenaar","2018-04-02T00:00:00.000Z",10,26,0,11,13,50
"620343","LEG4_John_Moolenaar","2018-04-03T00:00:00.000Z",16,6,12,26,3,53
"620344","LEG4_John_Moolenaar","2018-04-04T00:00:00.000Z",11,18,0,11,22,49
"620345","LEG4_John_Moolenaar","2018-04-05T00:00:00.000Z",12,18,4,4,18,56
"620346","LEG4_John_Moolenaar","2018-04-06T00:00:00.000Z",18,16,8,40,5,31
"620347","LEG4_John_Moolenaar","2018-04-07T00:00:00.000Z",17,15,15,16,8,47
"620348","LEG4_John_Moolenaar","2018-04-08T00:00:00.000Z",18,31,3,23,13,30
"620349","LEG4_John_Moolenaar","2018-04-09T00:00:00.000Z",13,0,0,36,34,30
"620350","LEG4_John_Moolenaar","2018-04-10T00:00:00.000Z",10,0,19,32,28,22
"620351","LEG4_John_Moolenaar","2018-04-11T00:00:00.000Z",12,34,8,8,13,37
"620352","LEG4_John_Moolenaar","2018-04-12T00:00:00.000Z",19,23,6,5,6,59
"620353","LEG4_John_Moolenaar","2018-04-13T00:00:00.000Z",15,14,13,20,5,49
"620354","LEG4_John_Moolenaar","2018-04-14T00:00:00.000Z",7,53,0,19,16,12
"620355","LEG4_John_Moolenaar","2018-04-15T00:00:00.000Z",13,20,0,28,9,42
"620356","LEG4_John_Moolenaar","2018-04-16T00:00:00.000Z",8,7,0,33,0,60
"620357","LEG4_John_Moolenaar","2018-04-17T00:00:00.000Z",22,18,0,30,11,41
"620358","LEG4_John_Moolenaar","2018-04-18T00:00:00.000Z",21,36,2,26,9,27
"620359","LEG4_John_Moolenaar","2018-04-19T00:00:00.000Z",10,23,0,11,21,46
"620360","LEG4_John_Moolenaar","2018-04-20T00:00:00.000Z",14,16,0,5,29,51
"620361","LEG4_John_Moolenaar","2018-04-21T00:00:00.000Z",7,15,0,0,50,35
"620362","LEG4_John_Moolenaar","2018-04-22T00:00:00.000Z",8,28,14,27,18,13
"620363","LEG4_John_Moolenaar","2018-04-23T00:00:00.000Z",12,0,13,38,10,39
"620364","LEG4_John_Moolenaar","2018-04-24T00:00:00.000Z",9,28,0,32,16,25
"620365","LEG4_John_Moolenaar","2018-04-25T00:00:00.000Z",6,10,0,0,0,90
"620366","LEG4_John_Moolenaar","2018-04-26T00:00:00.000Z",16,31,0,5,24,39
"620367","LEG4_John_Moolenaar","2018-04-27T00:00:00.000Z",13,22,12,24,9,32
"620368","LEG4_John_Moolenaar","2018-04-28T00:00:00.000Z",11,31,0,8,23,38
"620369","LEG4_John_Moolenaar","2018-04-29T00:00:00.000Z",9,23,0,37,0,40
"620370","LEG4_John_Moolenaar","2018-04-30T00:00:00.000Z",9,22,6,14,22,36
"620371","LEG4_John_Moolenaar","2018-05-01T00:00:00.000Z",11,21,5,5,35,34
"620372","LEG4_John_Moolenaar","2018-05-02T00:00:00.000Z",16,22,7,0,22,48
"620373","LEG4_John_Moolenaar","2018-05-03T00:00:00.000Z",16,28,0,27,23,22
"620374","LEG4_John_Moolenaar","2018-05-04T00:00:00.000Z",14,18,12,18,3,47
"620375","LEG4_John_Moolenaar","2018-05-05T00:00:00.000Z",13,39,18,14,4,23
"620376","LEG4_John_Moolenaar","2018-05-06T00:00:00.000Z",11,7,9,32,15,38
"620377","LEG4_John_Moolenaar","2018-05-07T00:00:00.000Z",12,19,8,33,11,28
"620378","LEG4_John_Moolenaar","2018-05-08T00:00:00.000Z",10,19,5,24,0,52
"620379","LEG4_John_Moolenaar","2018-05-09T00:00:00.000Z",13,22,0,31,16,30
"620380","LEG4_John_Moolenaar","2018-05-10T00:00:00.000Z",11,27,0,26,4,43
"620381","LEG4_John_Moolenaar","2018-05-11T00:00:00.000Z",11,11,0,6,14,68
"620382","LEG4_John_Moolenaar","2018-05-12T00:00:00.000Z",14,17,6,40,19,18
